TreatmentGroup	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR	IR	IR	IR	sham	sham	sham	sham	IR	IR	IR	IR	sham	sham	sham	sham
Dose-Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__uncultured	0.007262337993998595	0.002715577750673141	0.00408813216762873	0.00328258855554666	0.008983409551717503	0.0007346339074361277	0.006199695453556668	0.003724662702218812	5.932195011023996e-05	0.0030537459283387623	0.0045457657287601835	0.001943057617055728	0.003663045204019143	0.00242773261065944	0.003038532899513297	0.008667729006712057	0.0011439090132141214	0.009844818955448023	0.00272187080697719	0.006634895508815655	0.00984889859821591	0.006464906632324533	0.003804580614275996	0.006026763750860966	0.004063309556762128	0.0041991511393395745
d__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella	0.0	8.054679768945758e-05	4.5934069299199216e-05	2.2875181571753726e-05	0.0006659858810993207	0.0032160639947759364	0.0009788992821405265	0.0005275273355073854	0.002649713771590718	0.001440741668754698	0.0022728828643800917	6.746727836999056e-05	2.2681394452130917e-05	0.0	0.001075586867084353	0.0007001786662803612	0.0005785286963381763	0.0005747446094517678	0.0	0.0	0.0	0.0	0.001914888256191892	0.0026320968218045853	0.00305191809503531	0.0008578910929833539
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_vadinBB60_group|f__Clostridia_vadinBB60_group|g__Clostridia_vadinBB60_group	0.005793909212794484	0.016949347570938716	0.006078608503927363	0.008372316455261864	0.010389379745149403	0.012733654395559546	0.01034836383977128	0.01505850757721082	4.9434958425199964e-05	0.017883988975194186	0.0027247210241664955	0.004776683308595331	0.009991154256163669	0.018603206865401987	0.0029040845411277528	0.02274373460814139	0.004536190914469791	0.01321912601739066	0.00969906076289055	0.001970260849064547	0.012033497178226835	0.023129426915647136	0.011741288518229233	0.007650300108235757	0.010468788814365308	0.0043496583486349
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.0018993807061227096	0.015223344763307481	0.035767328627643126	0.03481602635220917	0.002042356702037917	0.2348542976083585	0.008872245874638739	0.002989321567875184	0.058580425733861956	0.2633425206715109	0.007558020127336209	0.025030360275266495	0.04516999705141872	0.006831526648599819	0.005969507112318159	0.012096190062291757	0.019551640260337913	0.000945547583291618	0.026126126126126126	0.007156930434636176	0.008374294556708538	0.1119639407598197	0.002796744689964474	0.0037144543933877792	0.01706944888037191	0.0006170795581108335
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GCA_900066575	0.00754963927727766	0.0030377649414309715	0.004593406929919922	0.003454152417334813	0.012550133937160533	0.00042445514651865156	0.004645887069206625	0.0028614361532067266	0.00011864390022047992	0.0023020546229015285	0.006517423153282673	0.002172446363513696	0.0034702533511760305	0.0019478319783197832	0.010379413267364005	0.0160316770486262	0.0011439090132141214	0.005524964310213768	0.0037377803335250145	0.013050873145513026	0.010686328053886765	0.003142305215711526	0.013253042404696515	0.0064941454294991634	0.007984669434685404	0.0044399626742120946
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.0030007022920257934	0.008733574206614043	0.0058795608702975	0.036520227379304826	0.0022199529369977358	0.01919843278099747	0.00480126790764163	0.023546901975829655	0.007168068971653995	0.007062766224004009	0.0016841240501129595	0.016839832681149643	0.10458390981877566	0.010219060523938573	0.0014251525988867675	0.003525037423342508	0.003707843008349221	0.03839664794111649	0.0006708836496070539	0.003300607918091036	5.4614964500273074e-05	0.003013522215067611	0.014034115246037945	0.06371150250910164	0.04279782816991377	0.1148068992504741
d__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales_Tissierellales|f__Peptostreptococcaceae|g__Romboutsia	0.00020749537125710273	0.0018986030883943572	0.0007349451087871875	0.002013015978314328	0.0009027808610457458	0.0028405844420863603	0.002486093414960067	0.0012308971161838992	0.006940668162898075	0.00878539213229767	0.002930102005887588	0.02891647550937795	0.030483794143663954	0.04832881662149955	0.0022318427492000322	0.003476749239461104	0.011373348234830057	0.004152993307006322	0.01276595744680851	0.003014330700705589	0.002002548698343346	0.008293625241468126	0.00297311597671899	0.006420348322345764	0.0048440327903758115	0.002754281930104452
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor	9.57670944263551e-05	0.0003682139322946632	0.00013780220789759765	0.0002745021788610447	0.0010507777235122615	3.265039588605012e-05	0.000885670779079524	0.0005115416586738283	0.0	0.00010962164870959659	0.0006572191415074964	0.00013493455673998112	0.00023815464174737464	0.00022583559168925022	0.00026889671677108825	0.00031387319522912746	0.0	0.0005005840146837978	0.00021084914701935978	0.0019029015037973832	0.0014563990533406153	0.0010560206052801031	0.00032754667540124465	0.0006641739643805963	0.0003726179069519855	0.00039131874416784565
d__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae	0.0	2.301337076841645e-05	4.5934069299199216e-05	9.15007262870149e-05	0.0	6.530079177210024e-05	4.661425153050126e-05	1.5985676833557134e-05	2.966097505511998e-05	3.132047105988474e-05	6.84603272403642e-05	2.6986911347996223e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00019168104274487253	0.000252597544751865	0.00010922992900054615	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Marvinbryantia	0.00014365064163953265	0.005408142130577866	0.0014852015740074414	0.0003660029051480596	0.0	9.795118765815036e-05	0.0003729140122440101	0.0006394270733422853	0.0001384178835905599	0.00021924329741919318	0.00012322858903265557	0.000485764404263932	0.0010433441447980222	0.0006210478771454381	0.0005109037618650676	0.0009174754937466802	0.001775031227401223	0.001093868772827558	0.004753689860072839	0.0036879241533772293	0.0021663935918441652	0.00154539600772698	0.0005543097583713372	0.000713372035816196	0.0006742609744845452	0.0012191083952921345
