class	IR	IR	IR	IR	IR	IR	IR	IR	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	sham	sham	sham	sham	sham	sham	sham	sham
subclass	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	IR+HLU_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl	sham_subcl
subject	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham	sham	sham	sham	sham
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	849.96780425	1055.88931367	1902.9015038	2894.38374545	338.753387534	737.145319694	310.349480502	465.530225234	642.069656728	0.0	271.75650617	264.14742534	48.9755938291	14.7996862467	766.318582654	612.454257323	863.001403816	1213.04986273	662.231720899	780.723233614	787.16914297	1058.22772053	1112.40892152	144.632174085	2535.12965377	2204.95307752
d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella	0.0	0.0	0.0	0.0	0.0	22.6813944521	67.46727837	2272.88286438	1440.74166875	2649.71377159	527.527335507	978.899282141	3216.06399478	665.985881099	22.8751815718	45.9340692992	80.5467976895	0.0	857.891092983	3051.91809504	2632.0968218	1914.88825619	574.744609452	578.528696338	700.17866628	1075.58686708
d__Bacteria.p__Patescibacteria.c__Saccharimonadia	25.7566001288	1055.88931367	1262.98772376	440.866398313	197.606142728	1462.94994216	850.087707462	0.0	31.3204710599	0.0	0.0	0.0	0.0	0.0	0.0	45.9340692992	92.0534830737	1803.6136117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	12878.3000644	1219.73420717	4445.71678763	26241.1347518	1467.93134598	1542.33482274	4128.99743624	15595.2625454	1362.4404911	1552.25769455	1518.63929919	2408.40299574	8587.05411803	399.59152866	697.693037938	704.322395921	1357.78887534	63.8447296176	541.825953463	2111.50147273	1008.56046443	856.660535665	611.824906836	696.864111498	531.170022695	2366.29110759
d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	437.862202189	400.509739669	555.714598454	632.547441058	0.0	0.0	418.297125894	95.8444581365	140.942119769	0.0	79.9283841678	1072.1277852	293.853562974	29.5993724933	366.002905148	260.293059362	2796.12454836	478.835472132	0.0	212.924518258	24.5990357178	151.175388647	259.562081688	828.347906121	265.585011348	134.448358386
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.f__Lachnospiraceae_x__L6	45357.3728268	159402.876388	192479.329101	44930.0364194	35936.0885276	88446.0976661	30481.7163676	75018.82659	35517.4141819	1670.90159477	40156.0202059	48774.0451847	12292.8740511	98077.5207566	50760.0279077	91623.1568955	67268.0827561	173130.94554	51879.8350441	28070.5489904	70451.6382958	111794.199904	127537.682852	18578.6601801	87208.4600898	73919.7074404
d__Bacteria.p__Desulfobacterota	2240.8242112	35299.4720553	35431.0156105	7149.70289438	2822.94489612	6861.12182177	11631.358791	8105.70274526	10053.8712102	17025.3996816	575.484366008	2688.08850493	18071.9941229	30368.9561781	6233.4869783	25830.2583026	11725.3124065	14923.7055481	8097.28786009	4240.74665531	26763.750861	38247.3733276	22470.6602147	2037.99881665	38968.5643923	57839.6837775
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG_011	360.592401803	91.0249408338	218.917872118	230.017251294	621.047877145	283.517430652	0.0	27.3841308961	46.9807065898	0.0	207.813798836	108.766586905	48.9755938291	29.5993724933	0.0	153.113564331	195.613651532	0.0	165.557930225	53.2311295646	122.995178589	75.5876943234	0.0	65.7418973112	0.0	134.448358386
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	21223.4385061	11669.3974149	15745.2469562	19014.7594403	15272.131888	9821.04379777	13533.936041	8721.84569042	19434.3522927	39.5479667402	20605.5374385	17122.9683955	7901.39580442	27394.2192426	20427.5371436	15985.0561161	16109.3595379	20478.1970248	2679.02832546	2430.88825012	6690.93771524	5442.31399128	10326.8628214	4601.93281178	10164.662707	6856.86627766
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG_001	180.296200901	2366.64846168	875.671488473	1169.25436074	508.130081301	136.088366713	1862.09688301	6982.95337852	109.62164871	0.0	12900.4412047	7085.36623264	848.910293037	7488.64124081	68.6255447153	1714.8719205	6973.05134283	25362.3188406	1414.76776738	2537.35050924	22311.325396	20106.32669	6748.61412389	1722.43770955	10961.4177411	19629.4603243
d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	82936.2524147	23812.1245221	43160.5004799	252482.269504	57842.1409214	21830.8421602	342382.944272	88806.7364962	258503.507893	861433.811534	105681.309547	139298.921657	151301.934536	25899.4509316	114661.847628	138521.84165	457586.357674	16807.1250718	13319.8880226	29880.4073956	28953.0650399	36861.5989317	32575.0412518	96706.3309447	33994.8814525	43346.1507435
d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	11178.3644559	27234.6622975	33696.5124699	28119.6089707	14905.1490515	13846.991313	10349.480502	30081.4677894	14939.8646956	998.586160189	24442.0998785	24721.091395	9468.61480695	63327.8574494	24430.6939186	23855.0933227	17950.4291994	29623.9545426	17669.5463713	18435.7145392	25484.6010036	31671.2439215	35986.4286112	10439.813293	32159.930465	32321.3853559
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g___Eubacterium__oxidoreducens_group	0.0	1292.55415984	454.675580553	0.0	56.4588979223	0.0	0.0	0.0	46.9807065898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.864551644	0.0
d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae.g__Candidatus_Saccharimonas	25.7566001288	1055.88931367	1262.98772376	440.866398313	197.606142728	1462.94994216	850.087707462	0.0	31.3204710599	0.0	0.0	0.0	0.0	0.0	0.0	45.9340692992	92.0534830737	1803.6136117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG_010.g__UCG_010	1983.25820992	1765.88385218	1094.58936059	843.396588077	1355.01355014	1236.13599764	121.441101066	410.761963442	313.204710599	0.0	1134.98305518	823.518443706	571.381928006	325.593097426	526.12917615	306.227128661	391.227303063	175.573006448	1414.76776738	1384.00936868	1057.75853587	881.856433773	296.642379072	420.748142791	265.585011348	403.345075157
d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	669.671603348	527.944656836	1667.14379536	1303.43109067	2060.74977416	612.397650208	148.428012414	355.99370165	2051.49085442	39.5479667402	1694.48174436	12150.7815656	1077.46306424	710.384939839	1830.01452574	4486.22743489	368.213932295	191.534188853	556.876674393	1242.05968984	1598.93732166	705.485147018	574.744609452	1196.50253106	1424.5014245	2043.61504746
d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella	0.0	36.4099763335	0.0	0.0	0.0	362.902311234	26.986911348	150.612719929	0.0	0.0	95.9140610013	139.842754592	0.0	162.796548713	251.626997289	107.179495031	333.693876142	510.757836941	0.0	0.0	0.0	403.134369725	278.10223038	0.0	0.0	699.131463605
d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	3013.52221507	54.6149645003	3300.60791809	670.883649607	10219.0605239	104583.909819	16839.8326811	1684.12405011	7062.766224	7168.06897165	23546.9019758	4801.26790764	19198.432781	2219.952937	36520.2273793	5879.5608703	8733.57420661	3000.70229203	114806.89925	42797.8281699	63711.5025091	14034.115246	38396.6479411	3707.84300835	3525.03742334	1425.15259889
d__Bacteria.p__Bacteroidota.c__Bacteroidia	419703.799099	273202.257419	194045.433878	226011.1175	619777.551942	484349.837828	392484.14519	447196.5496	125704.710599	29542.3311549	636549.651512	502315.174493	475846.869643	175317.083278	434308.197321	374270.79665	145352.449773	350236.2255	566539.237229	643298.200788	460297.156351	467157.146816	395702.393533	637814.739333	479453.377758	430584.312566
d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales_Tissierellales.f__Anaerovoracaceae.g__Family_XIII_UCG_001	257.566001288	1966.13872201	892.51132479	1150.08625647	338.753387534	533.012769625	148.428012414	985.828712261	172.262590829	0.0	671.398427009	1180.89437211	750.959105379	754.783998579	617.629902437	872.747316685	747.934549974	2857.05165039	466.572348816	354.874197097	1156.15467874	1562.14568268	1409.05130059	565.380316876	651.890482399	564.683105219
