	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Mpped1	29.6840276664932	67.7942300154753	53.2611064403091	38.6920598263016	62.2149775656836	37.13972315693	22.653675137389	37.4459261639665	38.3080057511085
Sult4a1	52.383578234988	72.1215212930589	67.7868627422116	62.7833423596593	76.9501038312403	47.7510726303385	59.8704271488137	46.3616228696728	60.9445546040362
Pnpla3	4.365298186249	1.9232405678149	2.07510804312893	0.730038864647201	0.818618125864258	0	0	0	0
Samm50	23.5726102057446	16.8283549683804	13.1423509398165	18.9810104808272	15.5537443914209	7.07423298227237	4.85435895801192	10.6988360468476	8.70636494343375
Prr5	0	1.44243042586118	4.84191876730083	0.730038864647201	3.27447250345703	10.6113494734086	8.09059826335321	3.56627868228252	1.74127298868675
Gm4217	8.730596372498	4.80810141953726	6.91702681042976	10.950582969708	5.32101781811768	35.3711649113619	38.8348716640954	17.8313934114126	41.790551728482
Gm29666	5.2383578234988	1.44243042586118	2.07510804312893	2.9201554585888	2.04654531466065	3.53711649113619	8.09059826335321	7.13255736456504	6.965091954747
Nup50	6.1114174607486	5.28891156149098	5.5336214483438	8.03042751111921	4.50239969225342	7.07423298227237	19.4174358320477	5.34941802342378	12.1889109208072
Gm6847	0.873059637249799	0.480810141953726	2.07510804312893	0.730038864647201	0.409309062932129	5.30567473670428	3.23623930534128	3.56627868228252	3.4825459773735
Gm10923	1.7461192744996	4.80810141953726	1.38340536208595	5.8403109171776	1.63723625172852	8.84279122784046	12.9449572213651	1.78313934114126	13.930183909494
Atxn10	20.9534312939952	23.0788868137788	27.668107241719	32.1217100444768	26.6050890905884	40.6768396480661	30.7442734007422	26.7470901171189	40.0492787397952
Wnt7b	11.3497752842474	20.1940259620565	15.9091616639884	10.950582969708	15.1444353284888	17.6855824556809	30.7442734007422	28.5302294582602	8.70636494343375
Gramd4	12.2228349214972	12.9818738327506	11.0672428966876	13.8707384282968	9.00479938450684	3.53711649113619	9.70871791602385	7.13255736456504	5.22381896606025
