	JvRad_Rhipp_204	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Rpl9	184.479196647629	208.572024890528	353.972694311311	272.703515512349	220.145803584212	218.180913524266	131.915255625599	158.376436383935	159.85757097816	123.829913674992
Atp5me	24.8599339364289	54.7316661060252	68.3533478670119	52.1693681849711	54.7255104955102	68.5311843762118	31.4083941965712	46.0731451298721	34.4790839364658	40.2447219443725
Ywhag	304.096344526679	249.990583024818	256.325054501295	260.846840924856	299.746546123135	279.019822103148	402.027445716112	423.2970208807	329.118528484447	380.776984550601
Gnb2	65.1296214430414	106.504863773887	85.4416848337649	92.4820617824488	113.182305797532	95.1045007669877	53.3942701341711	80.6280039772761	78.3615544010587	65.0107046793709
Hsph1	88.2929013754919	76.9201793922516	62.6572355447609	55.7263705612191	43.531656075974	48.2515481832511	103.647700848685	100.785004971595	78.3615544010587	136.212905042491
Rps5	77.9487850286559	107.984097992969	136.706695734024	101.967401452444	119.401113808386	125.17430615655	47.1125912948568	89.2667186891271	84.6304787531434	65.0107046793709
Eml2	67.5256131189105	102.067161116642	109.853594786269	124.495083168681	118.157352206215	115.384136959948	40.8309124555426	83.5075755478931	103.437251809398	65.0107046793709
Cadm4	61.9917237152534	131.651845498277	95.2064488147665	82.9967221124541	90.7945969584601	85.3143315703861	78.5209854914281	54.7118598417231	50.1513948166776	27.8617305768733
Axl	29.755297639664	34.0223870388805	50.4512805685088	43.8696959737257	36.0690864629499	42.657165785193	9.42251825897137	20.157000994319	21.9412352322964	3.09574784187481
Calr	139.350632620662	152.361124565421	133.451774407023	150.579767261167	133.082491432263	136.363070952666	238.703795893941	253.402298214296	282.101595843811	309.574784187481
Hspa8	332.446885625414	313.597654445333	224.589571563039	299.973867063584	322.134254962208	277.621226503633	860.590000986052	573.034742552784	432.555780293844	925.628604720567
Pcbp4	57.8686720496715	90.2332873639874	81.3730331750141	81.8110546537047	83.332027345436	104.894669963589	47.1125912948568	63.3505745535741	68.9581678729317	65.0107046793709
Rps12	109.820339275433	134.61031393644	253.070133174294	136.351757756174	148.007630658312	169.929365341015	81.6618249110852	115.18286282468	84.6304787531434	49.5319654699969
Tspyl4	112.751476300227	96.1502242403145	107.412403791019	69.9543800662113	95.7696433671429	72.7269711747553	169.605328661485	146.858150101467	147.31972227399	139.308652884366
Ptges3	33.6533450108115	20.7092790671447	18.7157976302533	21.3420142574882	21.1439472369017	23.0768273919897	34.5492336162283	46.0731451298721	21.9412352322964	49.5319654699969
Rps27a	104.870244797876	109.46333221205	183.903054975532	155.322437096164	151.738915464824	153.845515946598	100.506861429028	71.9892892654251	94.0338652812705	74.2979482049954
Tbc1d9b	138.006688051203	152.361124565421	224.589571563039	186.149791023647	172.882862701725	186.013214735432	116.211058527314	115.18286282468	141.050797921906	92.8724352562442
Srebf1	22.2450191632722	31.063918600717	20.3432582937535	47.4266983499737	47.2629408824861	51.7480371820374	18.8450365179427	17.277429423702	18.8067730562541	15.478739209374
Kif1c	82.5218452831066	146.444187689094	131.824313743523	171.921781518655	138.057537840946	144.055346749996	109.929379687999	106.544148112829	134.781873569821	83.5851917306198
Crk	52.0003168029362	48.8147292296981	72.4219995257626	49.7980332674724	50.9942256889981	46.1536547839793	113.070219107656	123.821577536531	94.0338652812705	99.0639309399938
Cltc	151.20896705707	110.942566431132	104.157482464018	98.4103990761955	119.401113808386	100.698883165046	141.337773884571	141.099006960233	125.378487041694	235.276835982485
Ywhaq	59.1396422533686	34.0223870388805	32.5492132700057	24.8990166337362	26.1189936455844	21.6782317924751	37.6900730358855	54.7118598417231	34.4790839364658	46.4362176281221
Rps29	153.544146761471	220.405898643182	287.2468071078	247.804498878613	191.539286734286	246.152825514556	103.647700848685	143.97857853085	169.260957506287	105.255426623743
Hsp90aa1	193.552342790768	186.383511604302	138.334156397524	164.807776766159	120.644875410557	162.936387343442	398.886606296455	221.727010937509	191.202192738583	396.255723759975
Zfr	118.552938378347	73.9617109540881	124.500740757772	82.9967221124541	89.5508353562894	77.6220557730562	182.168686340113	143.97857853085	125.378487041694	139.308652884366
Ywhaz	193.771265888055	170.111935194403	144.030268719775	168.364779142407	179.101670712579	144.754644549753	376.900730358855	331.150730620955	147.31972227399	359.106749657478
Pfdn5	65.8776086921072	94.6709900212327	126.128201421272	100.781733993694	109.45102099102	106.293265563104	84.8026643307423	57.5914314123401	100.302789633355	68.1064525212457
Mapk1	176.756076271096	136.089548155522	116.36343744027	148.208432343668	150.495153862653	142.656751150482	210.436241117027	204.449581513807	147.31972227399	229.085340298736
Cct8	46.3873718363697	29.5846843816352	26.8531009477547	22.5276817162375	23.631470441243	31.4684009890768	59.6759489734853	51.8322882711061	37.6135461125082	30.9574784187481
Ttc3	311.697840960274	214.488961766855	261.207436491795	230.019486997373	261.189936455844	224.474593722081	380.041569778512	359.946446327126	278.967133667769	374.585488866852
Rn18s-rs5	3313.85716723285	100.58792689756	198.550200947035	301.159534522333	186.564240325603	195.104086132276	351.774015001598	538.47988370538	329.118528484447	653.202794635584
Rpl36	19.5267240386187	60.6486029823522	44.7551682462578	47.4266983499737	41.0441328716327	62.9368019781536	43.9717518751997	28.79571570617	28.2101595843811	18.5744870512488
Calm2	416.373487449449	347.620041484214	287.2468071078	285.745857558592	319.646731757866	276.921928703876	511.956825404111	521.202454281678	310.311755428193	625.341064058711
Rpl17	184.564333407685	187.862745823384	345.02166066206	214.605810033631	179.101670712579	182.516725736646	72.2393066521138	132.460292248382	125.378487041694	74.2979482049954
Pitpnm1	90.834841782886	171.591169413484	131.824313743523	128.052085544929	118.157352206215	136.363070952666	113.070219107656	92.1462902597441	87.7649409291858	86.6809395724946
Ina	54.7672615047648	75.4409451731698	86.255415165515	61.6547078549659	60.9443185063636	53.146632781552	166.464489241827	190.051723660722	125.378487041694	108.351174465618
Smc1a	20.5301215678532	20.7092790671447	21.1569886255037	24.8990166337362	16.1689008282189	22.3775295922324	53.3942701341711	34.554858847404	47.0169326406352	86.6809395724946
mt-Tp	51.5928765940956	254.428285682063	672.141254025617	329.615553532318	303.477830929647	216.782317924751	119.351897946971	227.486154078743	194.336654914626	219.798096773111
